date;umol/(m^2*s)
09:30:57;10
09:35:57;12
09:40:57;12
09:45:57;13
09:50:57;18
09:55:57;22
10:00:57;28
10:05:57;35
10:10:57;50
10:15:57;43
10:20:57;44
10:25:57;40
10:30:57;40
10:35:57;54
10:40:57;50
10:45:57;58
10:50:57;60
10:55:57;58
11:00:57;62
11:05:57;71
11:10:57;60
11:15:57;63
11:20:57;60
11:25:57;61
11:30:57;65
11:35:57;63
11:40:57;60
11:45:57;60
11:50:57;56
11:55:57;61
12:00:57;63
12:05:57;68
12:10:57;70
12:15:57;81
12:20:57;95
12:25:57;98
12:30:57;125
12:35:57;130
12:40:57;123
12:45:57;131
12:50:57;141
12:55:57;149
13:00:57;163
13:05:57;143
13:10:57;153
13:15:57;156
13:20:57;140
13:25:57;172
13:30:57;153
13:35:57;155
13:40:57;169
13:45:57;149
13:50:57;164
13:55:57;216
14:00:57;197
14:05:57;157
14:10:57;117
14:15:57;128
14:20:57;133
14:25:57;131
14:30:57;137
14:35:57;121
14:40:57;94
14:45:57;86
14:50:57;95
14:55:57;122
15:00:57;107
15:05:57;108
15:10:57;98
15:15:57;88
15:20:57;84
15:25:57;73
15:30:57;63
15:35:57;54
15:40:57;48
15:45:57;49
15:50:57;46
15:55:57;42
16:00:57;33
16:05:57;37
16:10:57;43
16:15:57;40
16:20:57;33
16:25:57;28
16:30:57;24
