date,Counts,Date,Time,sunrise,sundown,DayNight,corr_par
1900-01-01 09:29:47,0.1640625,1900-01-01,09:29:47,,,night,14.936406250000001
1900-01-01 09:30:00,0.1640625,1900-01-01,09:30:00,,,night,14.936406250000001
1900-01-01 09:31:00,0.1640625,1900-01-01,09:31:00,,,night,14.936406250000001
1900-01-01 09:32:00,0.2265625,1900-01-01,09:32:00,,,night,18.38265625
1900-01-01 09:33:00,0.1640625,1900-01-01,09:33:00,,,night,14.936406250000001
1900-01-01 09:34:00,0.1640625,1900-01-01,09:34:00,,,night,14.936406250000001
1900-01-01 09:35:00,0.25,1900-01-01,09:35:00,,,night,19.675
1900-01-01 09:36:00,0.1484375,1900-01-01,09:36:00,,,night,14.07484375
1900-01-01 09:37:00,0.1953125,1900-01-01,09:37:00,,,night,16.65953125
1900-01-01 09:38:00,0.2265625,1900-01-01,09:38:00,,,night,18.38265625
1900-01-01 09:39:00,0.1796875,1900-01-01,09:39:00,,,night,15.797968749999999
1900-01-01 09:40:00,0.1796875,1900-01-01,09:40:00,,,night,15.797968749999999
1900-01-01 09:41:00,0.1484375,1900-01-01,09:41:00,,,night,14.07484375
1900-01-01 09:42:00,0.234375,1900-01-01,09:42:00,,,night,18.8134375
1900-01-01 09:43:00,0.1953125,1900-01-01,09:43:00,,,night,16.65953125
1900-01-01 09:44:00,0.234375,1900-01-01,09:44:00,,,night,18.8134375
1900-01-01 09:45:00,0.2578125,1900-01-01,09:45:00,,,night,20.10578125
1900-01-01 09:46:00,0.265625,1900-01-01,09:46:00,,,night,20.5365625
1900-01-01 09:47:00,0.3125,1900-01-01,09:47:00,,,night,23.12125
1900-01-01 09:48:00,0.2734375,1900-01-01,09:48:00,,,night,20.96734375
1900-01-01 09:49:00,0.2421875,1900-01-01,09:49:00,,,night,19.244218749999998
1900-01-01 09:50:00,0.21875,1900-01-01,09:50:00,,,night,17.951875
1900-01-01 09:51:00,0.2421875,1900-01-01,09:51:00,,,night,19.244218749999998
1900-01-01 09:52:00,0.21875,1900-01-01,09:52:00,,,night,17.951875
1900-01-01 09:53:00,0.4609375,1900-01-01,09:53:00,,,night,31.306093750000002
1900-01-01 09:54:00,0.3984375,1900-01-01,09:54:00,,,night,27.85984375
1900-01-01 09:55:00,0.3046875,1900-01-01,09:55:00,,,night,22.69046875
1900-01-01 09:56:00,0.2578125,1900-01-01,09:56:00,,,night,20.10578125
1900-01-01 09:57:00,0.3828125,1900-01-01,09:57:00,,,night,26.99828125
1900-01-01 09:58:00,0.5625,1900-01-01,09:58:00,,,night,36.90625
1900-01-01 09:59:00,0.3828125,1900-01-01,09:59:00,,,night,26.99828125
1900-01-01 10:00:00,0.4375,1900-01-01,10:00:00,,,night,30.01375
1900-01-01 10:01:00,0.4453125,1900-01-01,10:01:00,,,night,30.44453125
1900-01-01 10:02:00,0.5625,1900-01-01,10:02:00,,,night,36.90625
