Date;sunrise;sundown
1-1-2021;08:47:00;16:37:00
2-1-2021;08:47:00;16:38:00
3-1-2021;08:46:00;16:39:00
4-1-2021;08:46:00;16:41:00
5-1-2021;08:46:00;16:42:00
6-1-2021;08:46:00;16:43:00
7-1-2021;08:45:00;16:44:00
8-1-2021;08:45:00;16:46:00
9-1-2021;08:44:00;16:47:00
10-1-2021;08:43:00;16:48:00
11-1-2021;08:43:00;16:50:00
12-1-2021;08:42:00;16:51:00
13-1-2021;08:41:00;16:53:00
14-1-2021;08:41:00;16:54:00
15-1-2021;08:40:00;16:56:00
16-1-2021;08:39:00;16:58:00
17-1-2021;08:38:00;16:59:00
18-1-2021;08:37:00;17:01:00
19-1-2021;08:36:00;17:03:00
20-1-2021;08:35:00;17:04:00
21-1-2021;08:34:00;17:06:00
22-1-2021;08:33:00;17:08:00
23-1-2021;08:31:00;17:09:00
24-1-2021;08:30:00;17:11:00
25-1-2021;08:29:00;17:13:00
26-1-2021;08:27:00;17:15:00
27-1-2021;08:26:00;17:17:00
28-1-2021;08:25:00;17:18:00
29-1-2021;08:23:00;17:20:00
30-1-2021;08:22:00;17:22:00
31-1-2021;08:20:00;17:24:00
1-2-2021;08:19:00;17:26:00
2-2-2021;08:17:00;17:28:00
3-2-2021;08:15:00;17:29:00
4-2-2021;08:14:00;17:31:00
5-2-2021;08:12:00;17:33:00
6-2-2021;08:10:00;17:35:00
7-2-2021;08:09:00;17:37:00
8-2-2021;08:07:00;17:39:00
9-2-2021;08:05:00;17:41:00
10-2-2021;08:03:00;17:43:00
11-2-2021;08:02:00;17:44:00
12-2-2021;08:00:00;17:46:00
13-2-2021;07:58:00;17:48:00
14-2-2021;07:56:00;17:50:00
15-2-2021;07:54:00;17:52:00
16-2-2021;07:52:00;17:54:00
17-2-2021;07:50:00;17:56:00
18-2-2021;07:48:00;17:58:00
19-2-2021;07:46:00;17:59:00
20-2-2021;07:44:00;18:01:00
21-2-2021;07:42:00;18:03:00
